,title,media,date,desc
105,'Você': cinco coisas que você deveria apagar das redes sociais após ver série do Netflix,BBC,2020-11-01,Como a Petrobras virou tema central das eleições. em 11 horas. 3 decisões  recentes da Suprema Corte dos EUA que mostram 'guinada conservadora'. em 12  horas...
106,YPFB da Bolívia liberado pelo Brasil para usar gasoduto Gasbol,O Petróleo,2020-11-01,O Brasil quer abrir o oleoduto de 3.150 km para mais empresas agora que o  negócio com a Petrobras terminou. O governo está buscando maior  concorrência como...
107,Lei de abuso de autoridade muda postura de policiais por medo de punição,Correio Braziliense,2020-11-01,Últimas Notícias · Comitê de Elegibilidade da Petrobras se reúne na sexta  para analisar Caio Paes · Depósito pega fogo em Santa Maria; Dono diz que  incêndio foi...
108,"Haverá Terceira Guerra Mundial?, escreve Hamilton Carvalho",Poder360,2020-11-01,"... quando percebem um forte sentimento de injustiça, como foi o caso da  greve dos caminhoneiros e a política “racional” de reajuste de preços da  Petrobras."
109,Luciano Hang se especializou em defender o indefensável – G7 MA -,G7 MA,2020-11-01,"Em crise, Bolsonaro fala em possível mudança de política de preços da  Petrobras. 2 dias atrás. Semfaz abre prazo de pagamento do IPTU 2022 em São  Luís."
110,Uma ação para comprar para acelerar sua aposentadoria,Seu Dinheiro,2020-12-01,Carrego comigo que uma boa ideia de investimento é aquela que faz nossos  leitores ganharem dinheiro. A Petrobras que pulou sete ondas em 2020 e  promete reduzir...
111,Infraestrutura limita plano de concorrência entre refinarias,O Globo,2020-12-01,"A Petrobras colocou à venda oito de suas refinarias, mas analistas apontam  que isso não é suficiente para aumentar a concorrência no curto prazo. Será  preciso..."
112,Tsai Ing-wen é reeleita em Taiwan com discurso pró-separação de Hong Kong da China,Money Times,2020-12-01,Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
113,"Confiança não volta sem queda da dívida pública, diz Carlos ...",Poder360,2020-12-01,"Foi presidente do Conselho de Administração do BNDES e diretor do BNDES de  2017 a 2019, diretor do Banco Central (1986-1988) e da Petrobras  (1990-1992)."
114,Ex-prefeito é um dos principais pré-candidatos da ala ...,O Presente,2020-12-01,"Petrobras, eleições e os brasileiros ... Líder dos caminhoneiros conclama  categoria para protesto na frente das refinarias da Petrobras no dia 27..."
